,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
164,,html-keyboard-response,164,151956,0.0-3.0-132.0,311.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
165,,html-keyboard-response,165,152126,0.0-3.0-133.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,167.13661389704987,,test,167.13661389704987,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
166,,html-keyboard-response,166,152629,0.0-3.0-134.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
167,,html-keyboard-response,167,154135,0.0-3.0-135.0,239.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
168,,html-keyboard-response,168,154810,0.0-3.0-136.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,672.253729450333,,test,672.253729450333,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
169,,html-keyboard-response,169,155314,0.0-3.0-137.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
170,,html-keyboard-response,170,156821,0.0-3.0-138.0,10.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
171,,html-keyboard-response,171,156966,0.0-3.0-139.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,139.35792833858903,,test,139.35792833858903,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
172,,html-keyboard-response,172,157469,0.0-3.0-140.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
173,,html-keyboard-response,173,158976,0.0-3.0-141.0,365.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
174,,html-keyboard-response,174,159253,0.0-3.0-142.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,275.5518482878976,,test,275.5518482878976,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
175,,html-keyboard-response,175,159757,0.0-3.0-143.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
176,,html-keyboard-response,176,161262,0.0-3.0-144.0,420.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
